"","card","vers","task","A1","A2","A3","A4","A5"
"46",1,1,1,"-1","-1","1","1","-1"
"154",1,1,1,"-1","-1","1","1","-1"
"34",2,1,2,"-1","1","1","0","-1"
"159",2,1,2,"1","0","1","1","-1"
"172",3,1,3,"-1","-1","1","-1","1"
"134",3,1,3,"0","1","-1","0","-1"
"168",4,1,4,"1","0","-1","-1","1"
"80",4,1,4,"0","1","-1","0","1"
"131",5,1,5,"0","0","-1","0","-1"
"87",5,1,5,"1","0","1","0","1"
"93",6,1,6,"1","-1","-1","1","1"
"114",6,1,6,"1","0","-1","-1","-1"
"213",7,1,7,"1","0","1","1","1"
"215",7,1,7,"0","1","1","1","1"
"128",8,1,8,"0","-1","-1","0","-1"
"212",8,1,8,"0","0","1","1","1"
"7",9,1,9,"-1","1","-1","-1","-1"
"118",9,1,9,"-1","-1","1","-1","-1"
"61",10,1,10,"-1","1","-1","-1","1"
"63",10,1,10,"1","1","-1","-1","1"
"174",11,2,1,"1","-1","1","-1","1"
"77",11,2,1,"0","0","-1","0","1"
"17",12,2,2,"0","1","1","-1","-1"
"207",12,2,2,"1","1","-1","1","1"
"158",13,2,3,"0","0","1","1","-1"
"132",13,2,3,"1","0","-1","0","-1"
"92",14,2,4,"0","-1","-1","1","1"
"167",14,2,4,"0","0","-1","-1","1"
"16",15,2,5,"-1","1","1","-1","-1"
"50",15,2,5,"0","0","1","1","-1"
"85",16,2,6,"-1","0","1","0","1"
"57",16,2,6,"1","-1","-1","-1","1"
"33",17,2,7,"1","0","1","0","-1"
"97",17,2,7,"-1","1","-1","1","1"
"146",18,2,8,"0","-1","-1","1","-1"
"84",18,2,8,"1","-1","1","0","1"
"136",19,2,9,"-1","-1","1","0","-1"
"3",19,2,9,"1","-1","-1","-1","-1"
"79",20,2,10,"-1","1","-1","0","1"
"160",20,2,10,"-1","1","1","1","-1"
"42",21,3,1,"1","0","-1","1","-1"
"94",21,3,1,"-1","0","-1","1","1"
"31",22,3,2,"-1","0","1","0","-1"
"119",22,3,2,"0","-1","1","-1","-1"
"200",23,3,3,"0","-1","-1","1","1"
"8",23,3,3,"0","1","-1","-1","-1"
"178",24,3,4,"-1","1","1","-1","1"
"116",24,3,4,"0","1","-1","-1","-1"
"18",25,3,5,"1","1","1","-1","-1"
"100",25,3,5,"-1","-1","1","1","1"
"193",26,3,6,"-1","0","1","0","1"
"36",26,3,6,"1","1","1","0","-1"
"74",27,3,7,"0","-1","-1","0","1"
"163",27,3,7,"-1","-1","-1","-1","1"
"99",28,3,8,"1","1","-1","1","1"
"123",28,3,8,"1","0","1","-1","-1"
"187",29,3,9,"-1","1","-1","0","1"
"191",29,3,9,"0","-1","1","0","1"
"20",30,3,10,"0","-1","-1","0","-1"
"51",30,3,10,"1","0","1","1","-1"
"121",31,4,1,"-1","0","1","-1","-1"
"153",31,4,1,"1","1","-1","1","-1"
"209",32,4,2,"0","-1","1","1","1"
"81",32,4,2,"1","1","-1","0","1"
"120",33,4,3,"1","-1","1","-1","-1"
"197",33,4,3,"0","1","1","0","1"
"166",34,4,4,"-1","0","-1","-1","1"
"183",34,4,4,"1","-1","-1","0","1"
"104",35,4,5,"0","0","1","1","1"
"107",35,4,5,"0","1","1","1","1"
"37",36,4,6,"-1","-1","-1","1","-1"
"125",36,4,6,"0","1","1","-1","-1"
"173",37,4,7,"0","-1","1","-1","1"
"91",37,4,7,"-1","-1","-1","1","1"
"144",38,4,8,"1","1","1","0","-1"
"184",38,4,8,"-1","0","-1","0","1"
"30",39,4,9,"1","-1","1","0","-1"
"26",39,4,9,"0","1","-1","0","-1"
"112",40,4,10,"-1","0","-1","-1","-1"
"4",40,4,10,"-1","0","-1","-1","-1"
"138",41,5,1,"1","-1","1","0","-1"
"5",41,5,1,"0","0","-1","-1","-1"
"203",42,5,2,"0","0","-1","1","1"
"103",42,5,2,"-1","0","1","1","1"
"137",43,5,3,"0","-1","1","0","-1"
"150",43,5,3,"1","0","-1","1","-1"
"71",44,5,4,"0","1","1","-1","1"
"21",44,5,4,"1","-1","-1","0","-1"
"196",45,5,5,"-1","1","1","0","1"
"9",45,5,5,"1","1","-1","-1","-1"
"1",46,5,6,"-1","-1","-1","-1","-1"
"65",46,5,6,"0","-1","1","-1","1"
"96",47,5,7,"1","0","-1","1","1"
"108",47,5,7,"1","1","1","1","1"
"192",48,5,8,"1","-1","1","0","1"
"25",48,5,8,"-1","1","-1","0","-1"
"161",49,5,9,"0","1","1","1","-1"
"157",49,5,9,"-1","0","1","1","-1"
"182",50,5,10,"0","-1","-1","0","1"
"58",50,5,10,"-1","0","-1","-1","1"
"88",51,6,1,"-1","1","1","0","1"
"52",51,6,1,"-1","1","1","1","-1"
"145",52,6,2,"-1","-1","-1","1","-1"
"177",52,6,2,"1","0","1","-1","1"
"38",53,6,3,"0","-1","-1","1","-1"
"113",53,6,3,"0","0","-1","-1","-1"
"127",54,6,4,"-1","-1","-1","0","-1"
"62",54,6,4,"0","1","-1","-1","1"
"43",55,6,5,"-1","1","-1","1","-1"
"32",55,6,5,"0","0","1","0","-1"
"216",56,6,6,"1","1","1","1","1"
"64",56,6,6,"-1","-1","1","-1","1"
"39",57,6,7,"1","-1","-1","1","-1"
"76",57,6,7,"-1","0","-1","0","1"
"140",58,6,8,"0","0","1","0","-1"
"72",58,6,8,"1","1","1","-1","1"
"68",59,6,9,"0","0","1","-1","1"
"66",59,6,9,"1","-1","1","-1","1"
"45",60,6,10,"1","1","-1","1","-1"
"186",60,6,10,"1","0","-1","0","1"
